"Property Name",,"cs","Node Path","Description"
"Caption","Description","Popis","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Pravidlo nastavující ověření výsledku","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Pravidlo nastavující ověření výsledku","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Pravidlo pro řetězec srovnání vlastností","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Pravidlo základních vlastností","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Pravidlo pro hledání vlastností objektu","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Pravidlo základních vlastností","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Pravidlo pro porovnání hodnoty vlastností","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Pravidlo základních vlastností","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Při ověřování dat se vyskytly problémy. Níže si přečtěte informace o jaké problémy se jedná a jak je odstranit.","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Žádné problémy nebyly nalezeny. ","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Chyba ověřování","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Smazat nastavení","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Spustit průvodce","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Klonovat...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Naklonovat objekt","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","MarkCompleted","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Base Audited Object Weak Reference","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Zobrazené jméno ","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","Guid Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Int Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Adresa","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Ulice","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Město","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Stav správní jednotky","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","PSČ","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Země","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Celá adresa","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Analysis","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Jméno","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Kritéria","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Self","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Typ dat","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Audit Data Item Persistent","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
