"Property Name",,"it-IT","Node Path","Description"
"Value","Unable to set '{0}' property. Current object is not set","Impossibile impostare la proprietà '{0}'. Non è stato impostato il Current Object.","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Per evitare questo errore è necessario assegnare la proprietà di CustomizePopupWindowParamsEventArgs.View quando si gestisce l'evento CustomizePopupWindowParams. Per eseguire questa operazione, creare una View utilizzando i metodi XafApplication.CreateDetailView/CreateListView. Fare riferimento alla documentazione del prodotto per informazioni più dettagliate su queste classi e metodi. Se questo non funziona, si prega di contattare il nostro team di supporto a http://www.devexpress.com/Support/Center/.","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","Esiste già un Data Layer: '{0}'.","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","Analisi del percorso della voce del dizionario non riuscita. C'è un errore di sintassi nell'espressione '{0}'.","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","Analisi del percorso del dizionario non riuscita. C'è un errore di sintassi nell'espressione '{0}'.","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","Identificatore di componente duplicato '{0}'.","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Si è verificato un errore durante l'aggiunta della proprietà personalizzata '{2}' (tipo di proprietà '{0}') al tipo '{1}': '{3}'.","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
"Value","The following error occurred:","Si è verificato il seguente errore:","Localization\Exceptions\SystemExceptions\ExceptionDialogLabel",
"Value","Column '{0}' does not exist in grid","La colonna '{0}' non esiste nella griglia.","Localization\Exceptions\SystemExceptions\GridColumnDoesNotExist",
"Value","Column '{0}' already exists in grid","E' già presente nella griglia la colonna '{0}'.","Localization\Exceptions\SystemExceptions\GridColumnExists",
"Value","Cannot set EditMode property. GridControl has been created already","Impossibile impostare la proprietà EditMode. GridControl è stato già creato.","Localization\Exceptions\SystemExceptions\GridControlIsAlreadyCreated",
"Value","Incompatible parameters combination. The PopupWindow has the same ObjectSpace as the main View.  However, the SaveOnAccept property of the Popup Window's DialogController is set to true. Use a new ObjectSpace for the invoked Popup Window or set the DialogController. SaveOnAccept property to false.","Combinazione di parametri incompatibili. Il PopupWindow ha lo stesso ObjectSpace come la View principale.  Tuttavia, è impostata la proprietà SaveOnAccept del DialogController della finestra popup su true. Utilizzare un nuovo ObjectSpace per la finestra popup richiamato oppure impostare la proprietà DialogController.SaveOnAccept su False.","Localization\Exceptions\SystemExceptions\IncompatibleParametersCombinationOnViewChanged",
"Value","The passed config file '{0}' doesn't contain the '<add key=""Modules""' node","Il file di configurazione passato '{0}' non contiene il nodo ' <add key = \ ""Modules\"" '.","Localization\Exceptions\SystemExceptions\IncorrectConfigFile",
"Value","Infinite recursion detected: the '{0}' detail view was created {1} times","Rilevata una ricorsione infinita: la Detail View \""{0}\"" è stata creata {1} volte.","Localization\Exceptions\SystemExceptions\InfiniteRecursionDetected",
"Value","Invalid application version on '{0}'","Versione applicazione non valida per '{0}'.","Localization\Exceptions\SystemExceptions\InvalidApplicationVersion",
"Value","Invalid value type is assigned to the '{0}' parametrized action. Set the Int, String or DateTime type instead.","Tipo di valore non valido assegnato all'Action parametrizzata '{0}'. Impostare il tipo in Int, String o DateTime.","Localization\Exceptions\SystemExceptions\InvalidParametrizedActionValueType",
"Value","The {0} object's {1} property has an incorrect value of {2}. Initialize the property with a correct {3} enumeration value in the {4} business class' AfterConstruction method.","La proprietà '{1}' dell'oggetto '{0}' ha un valore non corretto di '{2}'. Inizializzare la proprietà con un valore di enumerazione corretta '{3}' nel metodo AfterConstruction del Business Object '{4}'.","Localization\Exceptions\SystemExceptions\InvalidValueOfEnumProperty",
"Value","'{0}' is not valid namespace prefix description","'{0}' non è una descrizione valida come prefisso di Namespace.","Localization\Exceptions\SystemExceptions\IsNotValidNamespacePrefixDescription",
"Value","It's imposible to find path='{0}' for node '{1}'","Impossibile trovare il percorso '{0}' per il nodo '{1}'.","Localization\Exceptions\SystemExceptions\ItsImpossibleToFindPathForNode",
"Value","It's imposible to find SourceNode='{0}\\{1}'","Impossibile trovare il SourceNode ='{0} \\ {1}'.","Localization\Exceptions\SystemExceptions\ItsImpossibleToFindSourceNode",
"Value","Incorrect count: '{0}'","Conteggio non corretto: '{0}'.","Localization\Exceptions\SystemExceptions\LayoutControlInvalidCount",
"Value","ListEditor should implement IDXPopupMenuHolder interface","ListEditor deve implementare l'interfaccia IDXPopupMenuHolder.","Localization\Exceptions\SystemExceptions\ListEditorShouldImplement",
"Value","The '{0}' method should be used","Deve essere utilizzato il metodo '{0}'.","Localization\Exceptions\SystemExceptions\MethodShouldBeUsed",
"Value","Modules has already been loaded","I Moduli sono stati già caricati.","Localization\Exceptions\SystemExceptions\ModulesHasAlreadyBeenLoaded",
"Value","Names and values collections should have equal lengths","Le Collection di nomi e valori devono avere lunghezze uguali.","Localization\Exceptions\SystemExceptions\NameAndValueCollectionsShouldHaveEqualLengths",
"Value","The '{0}' node contains two child nodes with the '{1}' value in the key attribute. \r\n  Node1: '{2}'\r\n  Node2: '{3}'","Il nodo '{0}' contiene due nodi figlio con il valore '{1}' in un attributo chiave. \r\n Nodo 1: '{2}' \r\n Nodo2: '{3}'.","Localization\Exceptions\SystemExceptions\NodeContainsDuplicatedChildNodes",
"Value","The '{0}' node was not found","Il nodo '{0}' non è stato trovato.","Localization\Exceptions\SystemExceptions\NodeWasNotFound",
"Value","The '{0}' read-only parameter is not registered in the ParametersFactory.","Il parametro di sola lettura '{0}' non è registrato nella ParametersFactory.","Localization\Exceptions\SystemExceptions\NotRegisteredReadOnlyParameterException",
"Value","Object cannot be formatted because the specified format string is invalid: '{0}'","L' oggetto non può essere formattato perché la stringa di formato specificato non è valida: '{0}'.","Localization\Exceptions\SystemExceptions\ObjectFormatterFormatStringIsInvalid",
"Value","Page can only contain one instance of '{0}' control","Page può contenere solo un'istanza del controllo '{0}'.","Localization\Exceptions\SystemExceptions\PageCanOnlyContainOneInstanceOfControl",
"Value","The criterion contains the '{0}' read-only parameter which conflicts with the '{0}' property of the '{1}' class. To refer to the read-only parameter, use the '@@{0}' syntax. To refer to the property, use the '@this.{0}' syntax.","Il criterio contiene il parametro di sola lettura '{0}' che è in conflitto con la proprietà '{0}' della classe '{1}'. Per fare riferimento al parametro di sola lettura, utilizzare la sintassi ' @@ {0}'. Per fare riferimento alla proprietà, utilizzare la sintassi '@This.{0}'.","Localization\Exceptions\SystemExceptions\ParameterConflictsWithPropertyException",
"Value","The object that has been passed belongs to another ObjectSpace. This error may occur when you manipulate your objects via an ObjectSpace which these objects do not belong to. For instance, you may receive this error when using the XafApplication.CreateDetailView method in case you passed an object that was obtained from a different ObjectSpace than the ObjectSpace used as a parameter in this method. To correct this error, you should ensure that all the objects you manipulate belong to one ObjectSpace.\r\nIn most cases, to avoid this error it's sufficient to call the ObjectSpace.GetObject/GetObjectByKey methods to get a passed object in the target ObjectSpace.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","L'oggetto che è stato passato appartiene a un altro ObjectSpace. Questo errore può verificarsi quando si modificano degli oggetti tramite un ObjectSpace diverso da quello che li contiene. Per esempio, potresti ricevere questo errore quando si utilizza il metodo XafApplication.CreateDetailView nel caso in cui è stato passato un oggetto che è stato ottenuto da un ObjectSpace diverso rispetto all' ObjectSpace utilizzato come parametro di questo metodo. Per correggere questo errore, è necessario assicurarsi che tutti gli oggetti che si modificano appartengano allo stesso ObjectSpace.\r\nNella maggior parte dei casi, per evitare questo errore è sufficiente chiamare i metodi ObjectSpace.GetObject/GetObjectByKey per ottenere un oggetto di un determinato ObjectSpace.\r\nSe questo non aiuta, si prega di contattare il nostro team di supporto a http://www.devexpress.com/Support/Center/.","Localization\Exceptions\SystemExceptions\PassedObjectBelongsToAnotherObjectSpace",
"Value","Permission is denied","Permesso negato","Localization\Exceptions\SystemExceptions\PermissionIsDenied",
"Value","Process was aborted","Il processo è stato interrotto.","Localization\Exceptions\SystemExceptions\ProcessWasAborted",
"Value","Cannot update the CriteriaWrapper because the criterion uses dynamic parameters, but the current object isn't specified. To update the CriteriaWrapper, call the UpdateParametersValues(Object currentObject) method and pass the current object as the parameter.","Impossibile aggiornare il CriteriaWrapper perché il criterio utilizza parametri dinamici, ma non è specificato l'oggetto corrente. Per aggiornare il CriteriaWrapper, chiamare il metodo UpdateParametersValues(Object currentObject) e passare l'oggetto corrente come parametro.","Localization\Exceptions\SystemExceptions\RequiresCurrentObjectException",
"Value","Resource item with name '{0}' is not found","Risorsa con nome '{0}' non trovata.","Localization\Exceptions\SystemExceptions\ResourceItemWithNameIsNotFound",
"Value","RuleSet clearing is denied","Eliminazione di RuleSet negata.","Localization\Exceptions\SystemExceptions\RuleSetClearingIsDenied",
"Value","Source attribute expression should start with '{0}': '{1}'","L' espressione dell'attributo di origine deve iniziare con '{0}': '{1}'.","Localization\Exceptions\SystemExceptions\SourceAttributeExpressionShouldStartWith",
"Value","Source attribute path should consist of one or more node name and at last attribute name, which are delimited by the '\\' symbol: '{0}'","Il percorso di origine dell'attributo deve consistere di uno o più nomi di nodi e terminare con il nome dell'attributo, delimitati dal simbolo ' \\' : '{0}'.","Localization\Exceptions\SystemExceptions\SourceAttributePathShouldConsistOf",
"Value","SourceNode expression should start with '{0}': '{1}'","L'espressione SourceNode deve iniziare con '{0}': '{1}'.","Localization\Exceptions\SystemExceptions\SourceNodeExpressionShouldStartWith",
"Value","Cannot find TypeInfo for type '{0}'. You should put your template in an XAF module, or manually register it using the XafTypesInfo.Instance.FindTypeInfo(typeof({0})) method.","Impossibile trovare il TypeInfo per il tipo '{0}'. Si dovrebbe inserire il proprio modello in un modulo XAF o registrarlo manualmente utilizzando il metodo XafTypesInfo.Instance.FindTypeInfo(typeof({0})).","Localization\Exceptions\SystemExceptions\TemplateTypeInfoMissed",
"Value","The aspect '{0}' is not present in the aspects collection","La cultura '{0}' non è presente nella Collection delle culture.","Localization\Exceptions\SystemExceptions\TheAspectIsNotPresentInAspectsCollection",
"Value","The '{0}' assembly doesn't refer assembly {1} ({2})","L'assembly '{0}' non fa riferimento all'assembly '{1} ({2})'.","Localization\Exceptions\SystemExceptions\TheAssemblyDoesntReferAssembly",
"Value","The '{0}' class is not found in the BOModel","Classe '{0}' non trovata nel BOModel.","Localization\Exceptions\SystemExceptions\TheClassIsNotFoundInBOModel",
"Value","The ClassName attribute of the referenced view node is empty:","L'attributo ClassName del nodo della View a cui fa riferimento è vuoto:","Localization\Exceptions\SystemExceptions\TheClassNameAttributeIsEmpty",
"Value","The ClassName attribute of the referenced view node refers to a different type. \r\nShortcut object type: {0}\r\nView node object type: {1}","L'attributo ClassName del nodo della View a cui fa riferimento referenzia ad un tipo diverso. Tipo di oggetto: '{0}'.\r\nTipo di oggetto del nodo di View: '{1}'.","Localization\Exceptions\SystemExceptions\TheClassNameAttributeRefersToADifferentType",
"Value","The CreateApplicationModulesManager method returns null","Il metodo CreateApplicationModulesManager restituisce null.","Localization\Exceptions\SystemExceptions\TheCreateApplicationModulesManagerReturnsNull",
"Value","The expression should consist of the search expression and source attribute name which are delimited by ';' symbol: '{0}'","L'espressione deve essere costituita da una espressione di  ricerca e dal nome dell'attributo di origine, delimitati dal simbolo ';': '{0}'.","Localization\Exceptions\SystemExceptions\TheExpressionShouldConsistOf",
"Value","The 'expressionString' string contains {0} expressions","La stringa 'expressionString' contiene '{0}' espressioni.","Localization\Exceptions\SystemExceptions\TheExpressionStringContainsANumberOfExpressions",
"Value","The passed '{0}' file is not a *.dll or *.config file","Il file '{0}' passato non è un file *.dll o *.config.","Localization\Exceptions\SystemExceptions\ThePassedFileIsNotADllOrConfig",
"Value","There is already a creator registered for the format '{0}'","Esiste già un creatore registrato per il formato '{0}'.","Localization\Exceptions\SystemExceptions\ThereIsAlreadyRegisteredCreatorForFormat",
